YEAR,SERVICE,TITLE,ID #,DEPARTMENT,LOCATION,DISTRICT,Description,FIN_CODE,Amount,LATITUDE,LONGITUDE
2019,Community Facilities,Parks Grant Prep/Preliminary Design Program,CF-660834,Parks and Recreation,Citywide,Citywide,"This proposal continues the program established in the 2008-09 budget to provide preliminary design services and assistance for community projects and grant preparation, including CIB and CIP preparation by the professional design staff within Parks and Recreation.  This is an existing annual program that is currently funded at $30,000/yr. CIB and $30,000/yr. PIA for a total of $60,000/year to help cover the basic cost of services requested and provided.",CIB,30000,,
2019,Community Facilities,Fire Station 7,CF-553742,Fire & Safety Services,1038 Ross Ave.,"2,4,5","Replace existing Fire Station 7 located at 1038 Ross with new fire station which would include four drive-through bays to house Ladder 7, Medic 7, Engine 7 and a District Chief. 

Two-story brick building to accommodate dormitory rooms and living spaces on the second level and apparatus and firefighter support spaces on the ground level.",CIB,500000,44.96559,-93.056616
2019,Community Facilities,Outdoor Court Restoration Program,CF-660833,Parks and Recreation,Citywide,Citywide,"This proposal is to continue the annual program begun in the 1996-1997 budget to systematically resurface or replace, if necessary, the 90 tennis courts, 9 practice tennis courts, and the 41 outdoor basketball courts.  The outdoor courts provide valuable recreation opportunities to the public and need a systematic program to rebuild/resurface them to keep them in a safe and useable condition.",CIB,7000,,
2019,Community Facilities,Outdoor Court Restoration Program,CF-660833,Parks and Recreation,Citywide,Citywide,"This proposal is to continue the annual program begun in the 1996-1997 budget to systematically resurface or replace, if necessary, the 90 tennis courts, 9 practice tennis courts, and the 41 outdoor basketball courts.  The outdoor courts provide valuable recreation opportunities to the public and need a systematic program to rebuild/resurface them to keep them in a safe and useable condition.",CIB,224000,,
2019,Community Facilities,Outdoor Court Restoration Program,CF-660833,Parks and Recreation,Citywide,Citywide,"This proposal is to continue the annual program begun in the 1996-1997 budget to systematically resurface or replace, if necessary, the 90 tennis courts, 9 practice tennis courts, and the 41 outdoor basketball courts.  The outdoor courts provide valuable recreation opportunities to the public and need a systematic program to rebuild/resurface them to keep them in a safe and useable condition.",CIB,20000,,
2019,Community Facilities,Real Estate Division Design Services,CF-661277,General Government,Citywide,Internal Accounting,"OFS's Real Estate Division provides staff time and expertise to other city departments that prepare capital maintenance and CIB proposals. These departments do not compensate the division for proposals, only for projects that are eventually funded.",PIA,30000,,
2019,Community Facilities,Transfers to Debt Service Fund,CF-660869,General Government,Citywide,Internal Accounting,Transfer of interest earnings from prior years' capital improvement bond accounts and project balances from completed projects to capital improvement bonds debt service account.,Interest,222000,,
2019,Community Facilities,Citywide Long-Term Capital Maintenance Program,CF-660836,General Government,Citywide,Internal Accounting,A specified fund for Capital Maintenance work on City-owned facilities. This program funds the preservation of the City's physical assets.,CIB,0,,
2019,Residential and Economic Development,Vacant & Hazardous Building Demolition,RE-660840,Safety and Inspections,Citywide,Citywide,"This is a citywide, multi-year program which provides resources to clear buildings which are considered nuisance properties, and/or pose a threat to public health and safety.  Properties must have been 1) vacant for at least one year; or 2) vacant and unfit for habitation for at least 90 days.  These structures are typically identified on the City's vacant building list.  The program is administered by the City's Code Enforcement personnel in the Department of Safety and Inspections.",CDBG,375000,,
2019,Residential and Economic Development,St. Paul Home Improvement Loan Fund,RE-663434,Planning and Economic Development,Scattered Site Single Family Owner Occupied Homes in St. Paul,Citywide,Neighbor Works Home Partners' St. Paul Home Improvement Loan Fund provides home improvement loans and construction/project management services for home improvement projects for eligible low-to-moderate income single family owner occupied homes in the City of St. Paul with a focus on underrepresented neighborhoods and overall city-wide coverage and support.,CDBG,225000,,
2019,Residential and Economic Development,Acquisition Fund for Stabilizing Neighborhoods,RE-661846,Planning and Economic Development,Citywide,Citywide,"Funds are being requested to enable the HRA to acquire strategic, hazardous and/or blighted properties for reuse as determined by input and support from the applicable recognized community organizations representing the neighborhood in which the property is located.",CDBG,225000,,
2019,Residential and Economic Development,Commercial Node Citywide Economic Development Program,RE-661810,Planning and Economic Development,Citywide,Citywide,"The Commercial Node Citywide Program will provide financing to assist businesses with expansion, property acquisition, rehabilitation, and energy conservation improvements. Funds will be prioritized for use with the City's new Commercial Node Program, set to be rolled out in 2015, providing coordinated, targeted, and leveraged application of City resources.

Funds will be prioritized based on the city's Commercial Corridor Work Plans. Targeting city resources in a coordinated, concentrated and comprehensive manner will improve the lives of all Saint Paul citizens.",CDBG,75000,,
2019,Residential and Economic Development,Housing Real Estate Multi-Unit Development Fund,RE-661808,Planning and Economic Development,Citywide,Citywide,"1. Assist in financing the preservation, rehabilitation or new production of affordable housing.
2. Implement CDBG eligible activities related to acquisition and related costs (e.g. relocation, demolition, site preparation, and adjacent public improvements), rehabilitation, new construction and related costs that are part of the total development cost of a housing project.
3. Implement the housing component of larger mixed-use developments as determined by the Mayor, City Council/HRA and neighborhood.",CDBG,678000,,
2019,Residential and Economic Development,Citywide Homeowner Improvement Loan Program,RE-661807,Planning and Economic Development,Citywide,Citywide,"The funds are used to assist low income households to rehabilitate their homes by addressing CDBG eligible uses: (i.e. building code enforcement, lead paint abatement, hazardous waste treatment, handicap accessibility, energy improvements and window, roof and siding replacement, etc.).   Funds are also used for emergency repair of water/sewer lines, deficient furnaces and broken water heaters.",CDBG,775000,,
2019,Residential and Economic Development,Small Business Growth on the East Side,RE-553646,Planning and Economic Development,St. Paul's East Side,"1,2,4,5","Our proposal is $100,000 each year for two years to be used for targeted capital investment in the growth of businesses owned by people of color (within guidelines of CDBG funds) and that provide jobs, goods and services to low and moderate income residents on St. Paul's East Side.",CDBG,35000,44.9761467,-93.0220261
2019,Residential and Economic Development,North End Revitalization Fund,RE-553642,Planning and Economic Development,Scattered Site Single Family Homes,"6,10",Neighbor Works Home Partners' North End Revitalization Fund provides home improvement loans and accompanying construction management services to help low-to-moderate income homeowners make health and safety repairs to their single family homes in the harder hit neighborhoods of the North End and South Como in St. Paul.,CDBG,200000,44.977363,-93.126363
2019,Residential and Economic Development,NENDC Economic Development/Loan Leverage Fund,RE-552944,Planning and Economic Development,Saint Paul's East Side,"1,2,4,5","Two Hundred Thousand Dollars a year to provide business loans and grants, financing for acquisition funds for development and redevelopment projects as well as funding for demolition and preparation for projects located in the City of Saint Paul with a focus on White Bear Avenue, Phalen Village and East Seventh Street.",CDBG,200000,44.9761467,-93.0220261
2019,Residential and Economic Development,East Side Home Improvement Revolving Loan Fund,RE-552942,Planning and Economic Development,Dayton's Bluff,"4,5",The East Side RLF's primary purpose is to provide low interest home improvement loans and construction management assistance to help low and very low income households maintain and improve their homes.,CDBG,325000,44.9567757,-93.0598068
2019,Streets and Utilities,Municipal State Aid Contingency,SU-660818,Public Works,Citywide,Citywide,"To provide a funding source for Municipal State Aid (MSA) projects which, through unforeseen circumstances, exceed predicted costs.  Also, to provide a funding source for the City's share of MnDOT projects that involve City facilities.",MSA,225000,,
2019,Streets and Utilities,Municipal State Aid Contingency,SU-660818,Public Works,Citywide,Citywide,"To provide a funding source for Municipal State Aid (MSA) projects which, through unforeseen circumstances, exceed predicted costs.  Also, to provide a funding source for the City's share of MnDOT projects that involve City facilities.",MSA,75000,,
2019,Streets and Utilities,Railroad Crossing Safety Improvements Program,SU-662223,Public Works,Citywide,Citywide,"Program to install safety and surface improvements at approximately 70 at-grade railroad crossings throughout the City of St. Paul.  The program includes improvements of warning signals, gate arms, and signing and striping at crossings with local, collector and arterial streets.  The program will also improve the at-grade street surfacing where needed.  The overall goal is to improve safety and provide a smoother riding surface at railroad crossings throughout the City.",CIB,10000,,
2019,Streets and Utilities,Railroad Crossing Safety Improvements Program,SU-662223,Public Works,Citywide,Citywide,"Program to install safety and surface improvements at approximately 70 at-grade railroad crossings throughout the City of St. Paul.  The program includes improvements of warning signals, gate arms, and signing and striping at crossings with local, collector and arterial streets.  The program will also improve the at-grade street surfacing where needed.  The overall goal is to improve safety and provide a smoother riding surface at railroad crossings throughout the City.",MSA,40000,,
2019,Streets and Utilities,"Local Street, Alley, Sewer and Lighting Program",SU-662229,Public Works,Citywide,Citywide,"Construct streets, alleys, storm sewers, sanitary sewers, and street lighting when petitioned by abutting property owners. This program is for when residents want to upgrade street lighting from wood pole lighting to lantern lights, improve an alley that is in poor shape, pave a gravel street, extend a storm or sanitary sewer, etc. These projects are typically 100% assessed. This program also assists residents and businesses that are located at corner properties that have already been assessed for capital improvements made to one side of their property. Properties are subject to long side subsidy as outlined in the Citys Assessment Policy. This funding allows petitioned improvements to be made to the other side of their property without assessment. This type of work is not programmed or funded anywhere else.",Assessment,150000,,
2019,Streets and Utilities,Sidewalk Reconstruction Program,SU-662230,Public Works,Citywide,Citywide,Remove and replace existing sidewalk that is poor condition and/or presents a safety hazard for pedestrians.,Assessment,105000,,
2019,Streets and Utilities,Sidewalk Reconstruction Program,SU-662230,Public Works,Citywide,Citywide,Remove and replace existing sidewalk that is poor condition and/or presents a safety hazard for pedestrians.,Ramsey County,55000,,
2019,Streets and Utilities,Sidewalk Reconstruction Program,SU-662230,Public Works,Citywide,Citywide,Remove and replace existing sidewalk that is poor condition and/or presents a safety hazard for pedestrians.,Street Maintenance Fund,1485000,,
2019,Streets and Utilities,St. Paul Street Vitality Paving Program,SU-662231,Public Works,Citywide,Citywide,"This is a citywide program established to improve the structural condition, safety and rideability of the city's street system.  This recurring program, which replaces the Residential Street Vitality Program, will include all city streets, both residential and arterial, and projects will be prioritized by Pavement Condition Index and Average Daily Traffic as the main criteria.",Street Bonds,1000000,,
2019,Streets and Utilities,St. Paul Street Vitality Paving Program,SU-662231,Public Works,Citywide,Citywide,"This is a citywide program established to improve the structural condition, safety and rideability of the city's street system.  This recurring program, which replaces the Residential Street Vitality Program, will include all city streets, both residential and arterial, and projects will be prioritized by Pavement Condition Index and Average Daily Traffic as the main criteria.",Street Bonds,9500000,,
2019,Streets and Utilities,St. Paul Street Vitality Paving Program,SU-662231,Public Works,Citywide,Citywide,"This is a citywide program established to improve the structural condition, safety and rideability of the city's street system.  This recurring program, which replaces the Residential Street Vitality Program, will include all city streets, both residential and arterial, and projects will be prioritized by Pavement Condition Index and Average Daily Traffic as the main criteria.",Street Bonds,1000000,,
2019,Streets and Utilities,St. Paul Street Vitality Paving Program,SU-662231,Public Works,Citywide,Citywide,"This is a citywide program established to improve the structural condition, safety and rideability of the city's street system.  This recurring program, which replaces the Residential Street Vitality Program, will include all city streets, both residential and arterial, and projects will be prioritized by Pavement Condition Index and Average Daily Traffic as the main criteria.",Street Bonds,1000000,,
2019,Streets and Utilities,St. Paul Street Vitality Paving Program,SU-662231,Public Works,Citywide,Citywide,"This is a citywide program established to improve the structural condition, safety and rideability of the city's street system.  This recurring program, which replaces the Residential Street Vitality Program, will include all city streets, both residential and arterial, and projects will be prioritized by Pavement Condition Index and Average Daily Traffic as the main criteria.",Private Utility,20000,,
2019,Streets and Utilities,St. Paul Street Vitality Paving Program,SU-662231,Public Works,Citywide,Citywide,"This is a citywide program established to improve the structural condition, safety and rideability of the city's street system.  This recurring program, which replaces the Residential Street Vitality Program, will include all city streets, both residential and arterial, and projects will be prioritized by Pavement Condition Index and Average Daily Traffic as the main criteria.",Sewer Utility Fund,1100000,,
2019,Streets and Utilities,St. Paul Street Vitality Paving Program,SU-662231,Public Works,Citywide,Citywide,"This is a citywide program established to improve the structural condition, safety and rideability of the city's street system.  This recurring program, which replaces the Residential Street Vitality Program, will include all city streets, both residential and arterial, and projects will be prioritized by Pavement Condition Index and Average Daily Traffic as the main criteria.",Water Utility,1400000,,
2019,Streets and Utilities,Bridge Enhancement Program,SU-662344,Public Works,Citywide,Citywide,This program provides bridge enhancements that include ornamental railing and lantern lighting to bridges that currently have no amenities and are not scheduled for reconstruction for at least ten years.  Projects will be selected through a CIB process with selection criteria developed by Public Works and the CIB Committee.,CIB,250000,,
2019,Streets and Utilities,Signalized Intersection Safety Improvements Program,SU-662763,Public Works,Citywide,Citywide,"Administer, design and construct new traffic signal systems when and where warranted throughout the City.  Reconstruct existing traffic signal systems in order to improve safety and traffic flow.

Make minor changes to existing traffic signal systems in order to improve safety and traffic flow efficiency.  Bring traffic signal systems into compliance with current design standards (ie. add left turn arrows, install overhead signal indications, install larger indications, etc.).  

Make minor changes to roadway geometrics and/or signage in order to improve safety and traffic flow efficiency (ie. add exclusive left turn lanes, add crosswalks, add ""No Right Turn On Red"" signs, etc.).",CIB,125000,,
2019,Streets and Utilities,Signalized Intersection Safety Improvements Program,SU-662763,Public Works,Citywide,Citywide,"Administer, design and construct new traffic signal systems when and where warranted throughout the City.  Reconstruct existing traffic signal systems in order to improve safety and traffic flow.

Make minor changes to existing traffic signal systems in order to improve safety and traffic flow efficiency.  Bring traffic signal systems into compliance with current design standards (ie. add left turn arrows, install overhead signal indications, install larger indications, etc.).  

Make minor changes to roadway geometrics and/or signage in order to improve safety and traffic flow efficiency (ie. add exclusive left turn lanes, add crosswalks, add ""No Right Turn On Red"" signs, etc.).",MSA,125000,,
2019,Streets and Utilities,"Bicycle, Pedestrian and Traffic Safety Program",SU-662764,Public Works,Citywide,Citywide,"This program will be utilized to safety improvements at various intersections and locations throughout the City to promote alternate means of transportation such as walking and bicycling as a healthy and more active lifestyle, and develop and implement projects and activities that improve safety and reduce traffic, fuel consumption, and improve air quality.

Funding will be used to install bike lanes, pavement markings and signs, and install bicycle racks in sidewalk areas to recognize and encourage bicycling as a viable transportation mode. At signalized intersections, funding will be utilized to install pedestrian countdown timers, audible pedestrian signals and new pedestrian ramps to meet current design standards. A variety of neighborhood traffic calming techniques such as pedestrian refuge islands, street narrowing, chokers (bump outs), diverters, traffic circles, street closures, signing, pavement markings, median islands, and dynamic speed limit display signs can be used to calm traffic and increase safety. These techniques must be tailored for a particular problem.",CIB,250000,,
2019,Streets and Utilities,Citywide Stairway Repair and Replacement Program,SU-662966,Public Works,Citywide,Citywide,The City owns 230+ stairways within the public right of way. The vast majority of these stairways are in need of major repair or replacement. Public Works is requesting a multi-year program to bring all public stairways into a state of repair that will insure public safety for years to come. Public Works will prioritize the work by assessing the public use of the facility and the degree to which the structure is deficient or non compliant with current stairway design standards. Higher volume and severely deteriorated/non compliant stairways will be addressed first.,CIB,125000,,
2019,Streets and Utilities,SPS Traffic Signals on Arterials,SU-663523,Public Works,Citywide,Citywide,This program funds traffic signal reconstructs and revisions for signals located on planned street reconstruction projects. Traffic signal work is done in conjunction with street reconstruction under the St. Paul Streets (SPS) program.,MSA,150000,,
2019,Streets and Utilities,Johnson Parkway Trail,SU-553664,Public Works,Johnson Parkway from Burns to Phalen Voulevard,"4,6","This proposed project is to construct an off-street bicycle and pedestrian trail on the
east side of Johnson Parkway between Burns Avenue and Phalen Boulevard. The
project includes construction of the trail, pedestrian ramps, lighting, replacement of
impacted curb and gutter and pavement markings.
impacted curb and gutter and pavement markings.",MSA,375000,44.956829,-93.046071
2019,Streets and Utilities,Como Avenue Trail,SU-553743,Public Works,Raymond to Hamline,"10,12","The proposed project will construct an off-street trail along the north side of Como
Avenue between Raymond Avenue and Hamline Avenue. The proposal also includes
construction of several bump outs to shorten pedestrian crossing distances. Narrowing
the roadway will require some removal of existing pavement markings and placement of
new striping. This proposal also includes construction of pedestrian scaled lighting along
some of the corridor.",MSA,375000,44.977423,-93.17138
2019,Streets and Utilities,Downtown Traffic Signal Enhancements,SU-173674,Public Works,Downtown,17,"Provide design engineering and local match funds for a federally funded project to
upgrade the downtown traffic signal system.",Federal,2401000,44.953703,-93.089958
2019,Streets and Utilities,Downtown Traffic Signal Enhancements,SU-173674,Public Works,Downtown,17,"Provide design engineering and local match funds for a federally funded project to
upgrade the downtown traffic signal system.",MSA,600000,44.953703,-93.089958
2019,Streets and Utilities,Reconstruction of Summit Ave. Bridge,SU-133502,Public Works,Summit Ave. from Syndicate St. to Griggs St.,13,This project will reconstruct Summit Avenue Bridge No. 62504 and associated approach roadway over Ayd Mill Road and Canadian Pacific (CP) Railroad tracks between Syndicate Street and Griggs Street.,Federal,3126000,44.941393,-93.152886
2019,Streets and Utilities,Reconstruction of Summit Ave. Bridge,SU-133502,Public Works,Summit Ave. from Syndicate St. to Griggs St.,13,This project will reconstruct Summit Avenue Bridge No. 62504 and associated approach roadway over Ayd Mill Road and Canadian Pacific (CP) Railroad tracks between Syndicate Street and Griggs Street.,MSA,0,44.941393,-93.152886
2019,Streets and Utilities,Reconstruction of Summit Ave. Bridge,SU-133502,Public Works,Summit Ave. from Syndicate St. to Griggs St.,13,This project will reconstruct Summit Avenue Bridge No. 62504 and associated approach roadway over Ayd Mill Road and Canadian Pacific (CP) Railroad tracks between Syndicate Street and Griggs Street.,State,1432000,44.941393,-93.152886
2019,Streets and Utilities,Reconstruction of Summit Ave. Bridge,SU-133502,Public Works,Summit Ave. from Syndicate St. to Griggs St.,13,This project will reconstruct Summit Avenue Bridge No. 62504 and associated approach roadway over Ayd Mill Road and Canadian Pacific (CP) Railroad tracks between Syndicate Street and Griggs Street.,MSA,1497000,44.941393,-93.152886
2019,Streets and Utilities,Cleveland Ave - Hendon to Larpenteur,SU-123670,Public Works,Cleveland Ave from Hendon to Larpenteur,12,"Provide local funds to contribute to a Ramsey County project reconstructing Cleveland
Avenue with bituminous pavement, including concrete curb and gutter, driveway
aprons, outwalks, ADA compliant pedestrian ramps, storm sewer system improvements
and grade and sod boulevards. In addition, the City of Saint Paul would like to include
new street lighting, tree planting, traffic signal revisions and signal interconnection
improvements. This proposal is to fund the City share of the project cost.",MSA,75000,44.986495,-93.187181
2019,Streets and Utilities,Cleveland Ave - Hendon to Larpenteur,SU-123670,Public Works,Cleveland Ave from Hendon to Larpenteur,12,"Provide local funds to contribute to a Ramsey County project reconstructing Cleveland
Avenue with bituminous pavement, including concrete curb and gutter, driveway
aprons, outwalks, ADA compliant pedestrian ramps, storm sewer system improvements
and grade and sod boulevards. In addition, the City of Saint Paul would like to include
new street lighting, tree planting, traffic signal revisions and signal interconnection
improvements. This proposal is to fund the City share of the project cost.",MSA,225000,44.986495,-93.187181
2019,Streets and Utilities,Fairview Avenue,SU-113668,Public Works,Fairview Avenue from Shields to University,11,"This project is to reconstruct Fairview Avenue from Shields to University. The project
includes installing new pavement, concrete curb and gutter, concrete driveway aprons,
concrete outwalks where appropriate, ADA compliant pedestrian ramps at corners,
grading and sodding the boulevards, planting trees, installing new lantern style street
lighting, and making any needed improvements to the storm sewer system.",MSA,840000,44.955096,-93.177195
2019,Streets and Utilities,Fairview Avenue,SU-113668,Public Works,Fairview Avenue from Shields to University,11,"This project is to reconstruct Fairview Avenue from Shields to University. The project
includes installing new pavement, concrete curb and gutter, concrete driveway aprons,
concrete outwalks where appropriate, ADA compliant pedestrian ramps at corners,
grading and sodding the boulevards, planting trees, installing new lantern style street
lighting, and making any needed improvements to the storm sewer system.",MSA,280000,44.955096,-93.177195
2019,Streets and Utilities,Snelling Ave at Hoyt Traffic Signal,SU-103672,Public Works,Snelling at Hoyt,10,"MnDOT is reconstructing the signals at the intersections of Snelling at Hoyt and Snelling
at Midway (separate proposal).This proposal is to fund the City share of the project cost
of the Snelling at Hoyt traffic signal.",MSA,38000,44.988158,-93.166377
2019,Streets and Utilities,Snelling Ave at Midway Traffic Signal,SU-103673,Public Works,Snelling at Midway,10,"MnDOT is reconstructing the signals at the intersections of Snelling at Midway and
Snelling at Hoyt (separate proposal).This proposal is to fund the City share of the project
cost of the Snelling at Midway traffic signal.",MSA,75000,44.981145,-93.166949
2019,Streets and Utilities,Lexington Parkway Intersection Reconfiguration,SU-063744,Public Works,Lexington and West 7th Street,6,"Provide local funds to contribute to a Ramsey County project to reconfigure the
intersection at Lexington Parkway and West 7th Street.",MSA,300000,44.912603,-93.149149
2019,Streets and Utilities,Washington Tech - Safe Routes to School Project,SU-063745,Public Works,Arlington and Rice area,6,"This project will install sidewalk on arterials with missing segments and on local
residential streets around the Washington Technical Magnet School . Other elements
include pedestrian crossing improvements, bump outs and countdown timers at 2
traffic signal locations.",Federal,816000,44.984756,-93.105923
2019,Streets and Utilities,Lafayette Bridge Rehabilitation,SU-053665,Public Works,University to Otsego,5,"This project will perform a major rehabilitation of the Lafayette Bridge between
University and Otsego. The new bridge will provide bike shoulders/lanes, sidewalks,
ornamental metal railing and lantern style lighting. This project will be coordinated with
the Tedesco Street Project.",MSA,1677000,44.95928,-93.083071
2019,Streets and Utilities,Lafayette Bridge Rehabilitation,SU-053665,Public Works,University to Otsego,5,"This project will perform a major rehabilitation of the Lafayette Bridge between
University and Otsego. The new bridge will provide bike shoulders/lanes, sidewalks,
ornamental metal railing and lantern style lighting. This project will be coordinated with
the Tedesco Street Project.",MSA,280000,44.95928,-93.083071
2019,Streets and Utilities,Lafayette Bridge Rehabilitation,SU-053665,Public Works,University to Otsego,5,"This project will perform a major rehabilitation of the Lafayette Bridge between
University and Otsego. The new bridge will provide bike shoulders/lanes, sidewalks,
ornamental metal railing and lantern style lighting. This project will be coordinated with
the Tedesco Street Project.",MSA,280000,44.95928,-93.083071
2019,Streets and Utilities,Maryland Avenue at Edgerton Street Channelization,SU-053671,Public Works,Maryland  Bradley to Payne,5,"This project will include: widening of Maryland to accommodate left turn lanes;
reconstruction of the traffic signal at Edgerton to include left turn arrows; installation of
Accessible Pedestrian Signals (APS) and upgraded Emergency Vehicle Preemption (EVP)
equipment; installation of new lantern style street lighting; reconstruction of sidewalks
where needed, and construction of pedestrian ramps to meet current Americans with
Disabilities Act (ADA) standards. The Project will be managed by Ramsey County.",MSA,300000,44.977419,-93.07612
2019,Streets and Utilities,Maryland Avenue at Edgerton Street Channelization,SU-053671,Public Works,Maryland  Bradley to Payne,5,"This project will include: widening of Maryland to accommodate left turn lanes;
reconstruction of the traffic signal at Edgerton to include left turn arrows; installation of
Accessible Pedestrian Signals (APS) and upgraded Emergency Vehicle Preemption (EVP)
equipment; installation of new lantern style street lighting; reconstruction of sidewalks
where needed, and construction of pedestrian ramps to meet current Americans with
Disabilities Act (ADA) standards. The Project will be managed by Ramsey County.",MSA,200000,44.977419,-93.07612
2019,Community Facilities,Hazel Park Rec Center - Removable Rims- Capital Maintenance,CF-660836-446,Parks and Recreation,945 Hazel St N,Citywide,A specified fund for Capital Maintenance work on City-owned facilities. This program funds the preservation of the City's physical assets.,CIB,9600,44.969713,-93.020687
2019,Community Facilities,Fire Station Washers/Dryers - All Stations and Training Division- Capital Maintenance,CF-660836-433,Fire & Safety Services,Citywide,Citywide,A specified fund for Capital Maintenance work on City-owned facilities. This program funds the preservation of the City's physical assets.,CIB,72450,,
2019,Community Facilities,Fire Station 9 - Roof (old section) and A/C replacement- Capital Maintenance,CF-660836-434,Fire & Safety Services,1624 E. Maryland Ave.,Citywide,A specified fund for Capital Maintenance work on City-owned facilities. This program funds the preservation of the City's physical assets.,CIB,105765,44.97724,-93.032054
2019,Community Facilities,Saint Anthony Park Library - boilers & fan coil units- Capital Maintenance,CF-660836-435,Library,2245 Como Avenue,Citywide,A specified fund for Capital Maintenance work on City-owned facilities. This program funds the preservation of the City's physical assets.,CIB,200000,44.981029,-93.193555
2019,Community Facilities,Fleet Services Division - Sweeper/Truck Wash- Capital Maintenance,CF-660836-436,Financial Services,891 North Dale Street,Citywide,A specified fund for Capital Maintenance work on City-owned facilities. This program funds the preservation of the City's physical assets.,CIB,198500,44.9679646,-93.12722
2019,Community Facilities,Frogtown Community Center,CF-072921,Parks and Recreation,"237 Thomas Avenue, St.Paul, MN  55103",7,"This project includes the design and construction of a new 20,500 square foot Frogtown Community Center to replace the existing Scheffer Recreation Center. The new building will help provide expanded programming for all ages, abilities, and backgrounds in flexible interior spaces. Construction on new outdoor courts, play area, and fields will occur following completion of the new building.",CIB,5411000,44.9595947,-93.1101074
2019,Community Facilities,Rice and Arlington Municipal Athletics - Roof Replacement- Capital Maintenance,CF-660836-437,Parks and Recreation,1500 Rice Street,Citywide,A specified fund for Capital Maintenance work on City-owned facilities. This program funds the preservation of the City's physical assets.,CIB,42000,44.986216,-93.105345
2019,Community Facilities,Harriet Island - Handicap Door Openers- Capital Maintenance,CF-660836-438,Parks and Recreation,205 Dr. Justus Ohage Blvd.,Citywide,A specified fund for Capital Maintenance work on City-owned facilities. This program funds the preservation of the City's physical assets.,CIB,14500,44.937305,-93.098387
2019,Community Facilities,Como Lakeside Pavilion - Railing Modifications on Promenade- Capital Maintenance,CF-660836-439,Parks and Recreation,1360 Lexington Pkwy N,Citywide,A specified fund for Capital Maintenance work on City-owned facilities. This program funds the preservation of the City's physical assets.,CIB,16000,44.982304,-93.143188
2019,Community Facilities,West Minnehaha Rec Center - Air Handler and Condenser Replacement- Capital Maintenance,CF-660836-440,Parks and Recreation,685 Minnehaha Ave W,Citywide,A specified fund for Capital Maintenance work on City-owned facilities. This program funds the preservation of the City's physical assets.,CIB,113400,44.963298,-93.129307
